Timestamp,Alpha,Beta,Gamma,Delta,Theta
84.7,1429.4,1701.6,945.91,1435.5,566.07
85,1438.1,1759.1,960.1,1340.9,492.02
85.3,1450.8,1809.6,972.39,1267.6,444.9
85.6,1464.2,1858.4,987.42,1205.1,413.53
85.9,1476.7,1918.3,1002.3,1144.2,393.03
86.2,1481.3,1975.6,1018.1,1105.1,392.93
86.5,1478.9,2046,1035.3,1069.2,399.82
86.8,1472.5,2106.9,1048.3,1054.5,413.97
87.1,1460.8,2165,1057.2,1039.2,431.73
87.4,1444.8,2222.8,1059.2,1036.6,455.15
87.7,1432.3,2259.2,1053.5,1048.9,476.43
88,1426.2,2278.5,1041.1,1064.2,492.93
88.3,1427.5,2275.5,1017.9,1089.3,507.7
88.6,1434.6,2255.1,994.51,1103.7,513.25
88.9,1450,2211.9,964.28,1116.7,506.47
89.2,1468.2,2163.1,939.03,1112.8,490.25
89.5,1479.8,2095.6,912.15,1091.2,456.26
89.8,1489.6,2032.2,892.97,1061.2,421.97
90.1,1490.1,1966.4,875.87,1014.4,380.26
90.4,1488.7,1890,859.72,943.2,331.86
90.7,1482,1820.9,846.67,868.29,291.07
91,1473.8,1742.6,830.59,780.53,249.84
91.3,1463.9,1675.6,815.13,708.87,222.32
91.6,1454,1610.8,797.47,635.84,205.51
91.9,1444.7,1546,779.1,572.89,196.84
92.2,1437.6,1504.1,767.77,534.27,202.84
92.5,1430.1,1479.4,761.06,504.23,218.42
92.8,1420.4,1477.3,762.58,491.53,247.82
93.1,1407.5,1491.6,772.76,501.89,276.6
93.4,1386.5,1528.2,792.56,526.87,315.84
93.7,1362.3,1568.7,815.21,561.16,345.01
94,1330.7,1614.6,843.41,608.78,373.12
94.3,1304.7,1646,866.97,656.81,384.85
94.6,1283.3,1668.2,886.76,698.43,385.16
94.9,1272.8,1682.8,904.16,743.65,373.89
95.2,1278.1,1690.9,913.59,769.7,357.15
95.5,1300.1,1691.5,918.65,791.39,341.22
95.8,1343.5,1694.8,920.2,812.1,327.8
96.1,1393.2,1705.7,917.63,820.59,331.52
96.4,1463.1,1727.3,910.56,841.23,355.62
96.7,1523.8,1752.9,901.76,868.68,396.23
97,1593,1786.2,889.45,910.55,463.82
97.3,1640.2,1810.9,877.33,967.33,527.05
97.6,1679.9,1827.4,865.82,1041.5,593.72
97.9,1706.6,1833.8,854.53,1150.3,659.1
98.2,1716.1,1832.5,847.62,1262.3,699.53
98.5,1716.9,1823.5,845.63,1411.6,726.77
98.8,1713.3,1816.7,848.54,1542.9,728.69
99.1,1708.8,1818.5,856.15,1672.6,724.64
99.4,1709.1,1844.6,873.24,1805.8,712.48
99.7,1716,1885.8,893.71,1885.6,712.83
100,1731.7,1952.7,922.01,1938,727.7
100.3,1746.7,2015,945.71,1937.9,761.82
100.6,1760.8,2070.2,968.91,1906.1,805.67
100.9,1773,2113.7,991.37,1836,863.99
101.2,1771,2122.6,1006.2,1754.4,900.51
101.5,1752.4,2089.2,1015.7,1658.3,927.78
101.8,1724.8,2033.1,1019.6,1582.3,918.62
102.1,1690.8,1958.5,1020.5,1522.1,881.89
102.4,1644.6,1862,1020.3,1474,804.55
102.7,1608,1781.2,1020.6,1454,723.26
103,1570.2,1703.3,1021.2,1448.9,616.56
103.3,1545.2,1657.3,1021.1,1450.7,536.92
103.6,1526.5,1632.2,1020.1,1461.1,470.59
103.9,1509.8,1626.6,1011.3,1478.3,430.9
104.2,1495.7,1640.3,998.02,1455.1,426.18
104.5,1473.7,1678.1,974.14,1446,464.48
104.8,1450.3,1730.4,947.44,1416.9,524.67
105.1,1420.7,1794.4,918,1411.1,604.38
105.4,1378,1878.4,882.46,1380.3,704.24
105.7,1337.1,1952.3,855.03,1366.6,794.32
106,1284.2,2030.6,827.83,1405.6,893.35
106.3,1238,2079.7,807.9,1469.8,963.57
106.6,1192.6,2107.4,791.21,1580.1,1015.3
106.9,1149.8,2111.5,775.17,1714.7,1067.3
107.2,1121.5,2090,765.39,1844.4,1100.4
107.5,1102.6,2050.4,756.29,2002.6,1131.5
107.8,1103.6,2014.2,752.39,2104.9,1160.9
108.1,1114,1979.1,749.82,2171.7,1198.6
108.4,1132.3,1955.6,747.98,2185.8,1251.5
108.7,1149.4,1948.3,744.26,2161.7,1300.6
109,1167.3,1953.1,736.42,2077.7,1346
109.3,1179.3,1966.8,725.37,1964.8,1372.2
109.6,1186.9,1979.7,711.41,1846.1,1369.7
109.9,1194.9,1992.4,692.67,1706.3,1324.5
110.2,1204.2,1996.2,678.5,1593.3,1249.7
110.5,1219.1,1995.6,665.83,1502.3,1121.1
110.8,1235.7,1995.2,658.12,1448.2,992.28
111.1,1255.4,1995.7,655.3,1400.1,855.02
111.4,1280.2,2000,655.01,1360,702.34
111.7,1298.8,2003.2,656.48,1337.5,584.42
112,1313.7,2004.7,657.23,1272.6,481.43
112.3,1319.9,2002.9,653.47,1237.3,417.02
112.6,1322.9,1997,648.7,1210.4,380.57
112.9,1326,1982,638.28,1194.1,359.96
113.2,1330.3,1964.1,626.13,1218.1,360.15
113.5,1342.7,1943.6,613.91,1270.1,372.05
113.8,1362.1,1927.6,609.97,1348.1,385.92
114.1,1390.5,1920,614.74,1450.3,406.19
114.4,1422.5,1919,634.44,1554.7,430.79
114.7,1445.3,1927.2,664.7,1632.4,452.12
115,1459.1,1943,715.62,1698.4,476.65
115.3,1456.4,1962.9,771.14,1720.8,498.62
115.6,1437,1983.2,832.36,1699.3,516.59
115.9,1400.3,2000.2,904.27,1681.2,539.55
116.2,1358.6,2005.8,958.51,1623.5,565.55
116.5,1305.2,1997.8,1006.6,1571.1,610.8
116.8,1268.9,1982.9,1028.5,1535.7,651.74
117.1,1222.7,1948.3,1038.4,1538.4,719.5
117.4,1185.8,1901.6,1025.6,1511.7,793.22
117.7,1161.3,1849.8,998.98,1500.7,852.42
118,1145,1794.8,963.8,1487,891.67
118.3,1129.8,1728.4,918.82,1446.3,914.94
118.6,1125,1680.8,879.74,1365.3,898.83
118.9,1131.2,1641.8,840.35,1228.3,841.71
119.2,1148.3,1628.2,812.6,1094.4,765.94
119.5,1185.7,1639.6,790.33,910.94,654.3
119.8,1236.2,1671.2,779.45,762.14,553.22
120.1,1311.7,1729.9,777.55,600.62,442.32
120.4,1387.3,1793.2,785.1,498.31,366.22
120.7,1464.5,1860.6,797.17,413.21,308.29
121,1549.8,1934.5,814.71,347.15,267.34
121.3,1610.4,1989.7,830.54,323.13,249.76
121.6,1665.3,2042.5,847.83,288.56,238.94
121.9,1693.8,2073.1,857.68,266.44,234.97
122.2,1708.3,2090.8,859.67,240.22,227.73
122.5,1710,2093.6,853.79,224.32,216.67
122.8,1701.1,2086.3,841.94,196.18,204.84
123.1,1679.7,2064.5,821.59,175.16,189.44
123.4,1655.8,2037.2,801.17,165.87,177.28
123.7,1627,2005.1,779.83,164.35,168.88
124,1592.3,1967,755.93,162.82,166.56
124.3,1564.1,1936.3,738.49,163.76,169.12
124.6,1535.6,1907.6,722.44,171.79,180.16
124.9,1518.8,1894.3,714.71,176.58,193.35
125.2,1508,1885.1,709.54,176.12,211.21
125.5,1502.2,1883.9,709.84,183.34,235.53
125.8,1494.2,1885.9,714.61,197.2,256.16
126.1,1482.6,1884.5,723.21,216.13,285.26
126.4,1465.3,1876.4,732.88,244.23,308.02
126.7,1443.1,1859.2,743.05,277.85,335.49
127,1415.6,1835.6,755.43,321.12,368.55
127.3,1383.1,1803.1,769.22,376.53,419.6
127.6,1359.5,1772.8,781.48,428.64,475.69
127.9,1338.4,1739.7,797.55,552.22,556.25
128.2,1329.1,1717.7,809.99,647.25,639.85
128.5,1327.4,1697.4,824.02,741.03,746.74
128.8,1334.6,1684.4,833.98,874.4,842.19
129.1,1347.8,1678.6,841.98,981.44,934.21
129.4,1381.2,1679.8,848.09,1128.8,1035.9
129.7,1434.1,1688.8,853.93,1311.1,1125.6
130,1528.5,1716.9,862.35,1558.4,1220.6
130.3,1643.2,1759.6,872.97,1834.2,1310.9
130.6,1789.3,1818.7,886.86,2021.5,1407.4
130.9,1988.7,1904.2,911.53,2259,1526.7
131.2,2183.4,1994,942.77,2233.6,1638.3
131.5,2412.4,2110.3,988.02,2203,1763.1
131.8,2599.9,2209.6,1033.3,2009.3,1859.5
132.1,2785.5,2320.8,1087.2,1707.2,1947.1
132.4,2903,2399.9,1133.6,1499.1,1998.7
132.7,2971.2,2462.5,1170.1,1343.9,2017.2
133,2987.4,2513.3,1199.3,1217,2010.7
133.3,2946.2,2537,1210.6,1136,1982.9
133.6,2870.5,2548,1210.7,1085.8,1942.9
133.9,2763.7,2552,1200.9,1012.7,1888.3
134.2,2671.5,2550.2,1189.6,891.45,1835.6
134.5,2601.9,2545,1181.6,816.91,1775.4
134.8,2569.7,2528,1180,743.38,1709
135.1,2593.6,2505.5,1190.1,676.14,1641.1
135.4,2678.7,2465.4,1215.5,588.07,1559.9
135.7,2795.2,2416.9,1248.6,516.47,1480
136,2964.6,2343,1293.7,426.54,1392.5
136.3,3118.8,2270.5,1333.6,359.38,1327.9
136.6,3259.5,2194.6,1369.5,363.66,1276.8
136.9,3384.5,2104.6,1400.5,315.87,1243.4
137.2,3444,2035.3,1420.4,334.27,1253.2
137.5,3458.9,1979.6,1436.7,423.29,1328
137.8,3428.6,1957.9,1450.8,603.38,1455.2
138.1,3375.8,1964.1,1468,889.13,1648.1
138.4,3307.1,1998.8,1495.4,1314.6,1933
138.7,3260.8,2048.5,1525.4,1732.9,2203.2
139,3237.6,2104.3,1558.2,2159.1,2470.7
139.3,3252.1,2168.6,1595.8,2541.6,2726.8
139.6,3297.7,2213.3,1624.3,2790.1,2867.1
139.9,3379.9,2244.5,1643.9,2882.1,2917.8
140.2,3467.6,2249,1649.2,2800.4,2854.2
140.5,3569.1,2225.9,1640.4,2558.2,2681
140.8,3640.4,2183.5,1621.9,2227.5,2475.5
141.1,3690.7,2125.3,1596.4,1837,2243.9
141.4,3726,2046.6,1564.5,1380.4,1991
141.7,3733.6,1976.5,1540.2,996.56,1814.1
142,3727.1,1910.5,1524.3,705.57,1679.4
142.3,3720.4,1843.7,1516.8,450.09,1582.2
142.6,3718.3,1792.7,1522.2,299.1,1527.8
142.9,3727.4,1761.9,1535,237.95,1499.2
143.2,3739.5,1742.3,1551.9,218.44,1480
143.5,3760.1,1730.1,1576,147.92,1444.2
143.8,3774.3,1729.3,1601.6,131.73,1426
144.1,3776,1737.1,1636,116.17,1412.1
144.4,3763.3,1753.8,1670.7,107.9,1416.7
144.7,3733.8,1776.8,1709.4,104.61,1442.7
145,3689.4,1801.3,1748.5,115.09,1490.9
145.3,3617,1832,1791.4,133.64,1570.1
145.6,3537.2,1859.7,1823.8,169.53,1661.9
145.9,3465.9,1880.5,1839.8,191.79,1742.3
146.2,3400.4,1896.8,1843.8,225.69,1814.7
146.5,3334.9,1910.6,1832.2,296.44,1873.1
146.8,3297.8,1919.3,1809.2,299.64,1893.9
147.1,3270.5,1925.2,1772.7,321.51,1886.9
147.4,3249.8,1931.8,1735.4,365.25,1851.3
147.7,3233.5,1934.4,1695.4,435.65,1797.2
148,3210.2,1932.6,1650.8,561.66,1729
148.3,3166.2,1916.6,1598.4,692.65,1648.6
148.6,3117.7,1894.7,1546.4,824.61,1586.6
148.9,3045.9,1853.4,1480.1,1018.3,1527.3
149.2,2978.1,1810.5,1419.1,1170.6,1491.5
149.5,2899.3,1756.1,1346.9,1360.9,1462
149.8,2843.9,1717.5,1290,1477,1448.9
150.1,2794.4,1687.9,1237.2,1601.3,1450.2
150.4,2765.4,1683.2,1213.4,1619.4,1451.9
150.7,2745,1704.4,1207.3,1649.7,1473.8
151,2739.6,1762.3,1235.5,1542.8,1509.7
151.3,2737,1836.6,1282.5,1442.1,1572.9
151.6,2748.9,1941.4,1358.6,1305.3,1680.7
151.9,2771.6,2037.4,1437.5,1193.8,1785.1
152.2,2818.1,2124.1,1515.3,1127.7,1920.1
152.5,2884.5,2209.9,1602.6,1051,2078.6
152.8,2965,2261.9,1666.1,1007.6,2215.7
153.1,3077.8,2293.2,1716.6,935.63,2362.3
153.4,3152.6,2300.4,1738,860.09,2444.1
153.7,3237.8,2292.6,1742.3,757.62,2550.4
154,3278.9,2274.4,1721.8,695.9,2630.6
154.3,3274.9,2258.8,1687.6,624.61,2689.6
154.6,3222.3,2246,1644.2,571.67,2750.3
154.9,3115.3,2235.3,1593,515.17,2811.2
155.2,2998,2231.6,1556.6,467.02,2860.4
155.5,2856,2227.4,1533.5,413.02,2913
155.8,2745.9,2215.1,1530.7,367.82,2940.7
156.1,2649.5,2183.2,1550.1,328.91,2949.1
156.4,2616,2140.6,1585.5,304.12,2926.6
156.7,2616.2,2082.8,1631.4,276.12,2881.4
157,2660.4,2004.9,1691.4,267.1,2797.9
157.3,2717.7,1931.4,1741.3,255.92,2718
157.6,2793.2,1852.9,1793.2,245.95,2620.6
157.9,2852.8,1794.3,1828.2,245.39,2544
158.2,2903.1,1746.8,1849.2,245.25,2484.1
158.5,2939.3,1705.5,1864.9,236.56,2435.2
158.8,2951.4,1680.5,1870.3,228.65,2416.8
159.1,2946,1664.8,1871.1,217.61,2418.5
159.4,2928.6,1659.5,1871.9,206.81,2431.1
159.7,2909.9,1661.5,1871.8,183.49,2458.8
160,2883,1671.8,1874.7,160.14,2499.3
160.3,2867.8,1684.7,1879.6,143.17,2539.5
160.6,2853.9,1710.7,1883.7,120.19,2587.2
160.9,2843.2,1739.9,1884.2,111.48,2630.9
161.2,2835,1775.1,1880,101.29,2675.3
161.5,2820.2,1817.8,1869.4,93.219,2731.5
161.8,2802.5,1854.5,1855,91.595,2791.4
162.1,2770.9,1892.3,1839.6,88.413,2860.2
162.4,2724.4,1925,1816.3,92.075,2958.6
162.7,2672.9,1947.1,1799,87.127,3054.6
163,2609.9,1965.1,1780.6,86.244,3169.9
163.3,2558.9,1967.4,1768.7,84.116,3267
163.6,2506.5,1964.3,1763.4,81.803,3355.5
163.9,2475.3,1957.8,1762.5,83.683,3405.8
164.2,2455.5,1950.1,1761.9,87.008,3425.2
164.5,2454,1941.7,1761.1,96.652,3400.4
164.8,2462.5,1933.9,1756.6,100.5,3351
165.1,2479.7,1926.7,1746,107.94,3270.5
165.4,2497.1,1921.8,1734.3,114.74,3192.8
165.7,2507.8,1916.9,1719.7,121.38,3122.3
